id,created_at,text
666825860742189057,2015-11-18 03:50:48,"RT @edsheeran: I co-wrote this song on Biebers album, check it out - https://t.co/Ad6nbtmagO https://t.co/gn17e07lmq"
666811471154814976,2015-11-18 02:53:38,Love Yourself. @edsheeran @ItsBennyBlanco https://t.co/0QXzNuy18F
666788035695013888,2015-11-18 01:20:30,Favorite song? https://t.co/ZWMJvhasht
666787927125442560,2015-11-18 01:20:04,"RT @jimmyfallon: Oh - and @justinbieber crushes ""Sorry"" tonight! https://t.co/Q4kSttK0KM https://t.co/xRNKExgbhK"
666783370697904128,2015-11-18 01:01:58,Looking forward to the trip @Sethrogen  https://t.co/OmIH7tXTyN
666783288917381124,2015-11-18 01:01:38,RT @SB_Projects: Who's coming to the @TODAYshow tomorrow morning? #BieberTODAY https://t.co/SieBBu2z75
666783194075762688,2015-11-18 01:01:16,One of my favorite covers of #sorry. Lol. https://t.co/nuvwWr9Jh1
666774932156719105,2015-11-18 00:28:26,RT @TODAYshow: Surprise... #BieberTODAY  https://t.co/QpKKatoSmG
666774850544017410,2015-11-18 00:28:07,"RT @TODAYshow: Are YOU coming to the plaza for #BieberTODAY?

See you tomorrow @justinbieber! #purpose https://t.co/nBNlY8Zqbw"
666774530413699072,2015-11-18 00:26:50,Tonight I sing and race on @jimmyfallon and the @FallonTonight https://t.co/idT6l4V8UL
666723822377312256,2015-11-17 21:05:21,#bieberhalsey @TODAYshow tomorrow #Purpose https://t.co/Ei6bdmmR7p
666723408076537860,2015-11-17 21:03:42,Added 2nd shows in Atlanta and Miami for the #PurposeWorldTour. Who's coming? https://t.co/HbSzhAjR95
666711239733612544,2015-11-17 20:15:21,RT @halsey: Tune into @thetodayshow tomorrow to watch me &amp; @justinbieber perform drum battles. Just kidding. We're gonna sing. https://t.co…
666699634975330305,2015-11-17 19:29:14,Thank you. #PURPOSE https://t.co/ZWMJvgSRpV
666698105635667968,2015-11-17 19:23:09,RT @TODAYshow: That time @TamronHall went skateboarding with @JustinBieber. https://t.co/rj06B57Qkx
666698078842437633,2015-11-17 19:23:03,RT @tamronhall: Thx @justinbieber for the skate lesson @TODAYshow see you tomorrow #purpose on the plaza https://t.co/aej3WAHunw
666691563221839872,2015-11-17 18:57:09,Tonight @jimmyfallon https://t.co/bMNTckuBdi
666673663991799808,2015-11-17 17:46:02,RT @Z100NewYork: [PHOTOS] @justinbieber sat down with @elvisduran for an @etnow exclusive! https://t.co/6B2kWpy56V #Beliebers https://t.co/…
666673051447201796,2015-11-17 17:43:36,Doing something great with @jimmyfallon
666672986771079168,2015-11-17 17:43:20,Get exclusive #Purpose t-shirt &amp; album bundles at @officialFYE
666623950835724289,2015-11-17 14:28:29,UK BELIEBERS!!! Let's go for it! Get #Purpose now and encourage friends to do the same. buyouts tonight and tomorrow https://t.co/ZWMJvhasht
666622288880537600,2015-11-17 14:21:53,"RT @FallonTonight: On tonight's show we have Rooney Mara, @JesseTyler Ferguson and music from @JustinBieber! #FallonTonight https://t.co/uf…"
666622252998201344,2015-11-17 14:21:45,RT @TODAYshow: Tomorrow on TODAY...@JustinBieber is live in concert on the plaza! #BieberTODAY https://t.co/18KTOWMytS
666535682874040320,2015-11-17 08:37:45,RT @halsey: @justinbieber @BigSean @TODAYshow and I'M bringing donuts.
666535671222308864,2015-11-17 08:37:42,RT @YouTube: Find your #PURPOSE with @justinbieber. https://t.co/bAah0YPtba https://t.co/Hzr33NNlDZ
666533054467276801,2015-11-17 08:27:18,#LoveYourself on @TheEllenShow today https://t.co/DulDmX9G1V
666532918655741952,2015-11-17 08:26:46,Thanks Tori https://t.co/GogVp6YL9Q
666532802725195776,2015-11-17 08:26:18,RT @dankanter: 'Love Yourself' from @TheEllenShow today https://t.co/kVCFQaCSXQ
666437154281758720,2015-11-17 02:06:14,RIP Thomas #PrayForParis https://t.co/L4nHUGEFWK
666410773569282048,2015-11-17 00:21:24,Watch #PurposeTheMovement on https://t.co/KDd1p0xjwB and the new #YouTubeMusic app https://t.co/WZaWAD7tj7
666410766262771712,2015-11-17 00:21:22,RT @thatrygood: Pretty cool to get a call from my friend Justin to talk about his new album #purpose....and pretty… https://t.co/06i4fgxoFN
666409312290512896,2015-11-17 00:15:35,Watch #PurposeTheMovement on https://t.co/KDd1p0xjwB and the new #YouTubeMusic app https://t.co/e1bczDLuLp
666402468646035456,2015-11-16 23:48:24,#PurposeWorldTour @AmericanExpress pre-sale is up. Just added another Boston show https://t.co/HbSzhAjR95
666402339901865984,2015-11-16 23:47:53,#LyftBieberMode https://t.co/dYaqR8kq8k
666372990284730368,2015-11-16 21:51:16,RT @Jeezy: Likewise lil bro! Listening to your album as we speak! Proud of you G keep killin em #ChurchInTheseStreets #purpose  https://t.c…
666372921309425664,2015-11-16 21:50:59,NYC about to hop in #LyftBieberMode. See u in one? ;)
666372537970991104,2015-11-16 21:49:28,Sitting down to talk with my buddy @elvisduran . Thanks for always supporting me my friend
666372422241792002,2015-11-16 21:49:00,Thanks Barry https://t.co/HtxoXiu3P3
666370346623307776,2015-11-16 21:40:45,My album is out but so is my big bro @Jeezy's. Listened to it over the weekend. Congrats buddy.
666345557691011072,2015-11-16 20:02:15,Oh yeah. I'm bringing @halsey and @BigSean with me too. See u guys Wednesday :) #purpose #nyc #BieberTODAY  https://t.co/pnC59cUWn0
666335777819926529,2015-11-16 19:23:24,Pre-sale &amp; VIP for the #PurposeWorldTour are up on my Fahlo :) https://t.co/zW6vmkb8j7 https://t.co/jZLLU4HjSR
666280904025731073,2015-11-16 15:45:21,"RT @OfficialFahlo: PURPOSE Tour Pre-Sale starts at 10am local! Fahlo fans have access to GA tickets, VIP packages &amp; more first. https://t.c…"
666279626713337860,2015-11-16 15:40:16,RT @TheEllenShow: Get ur tix to @JustinBieber's #PURPOSETOUR early with code ELLENJB do it fast before it opens to the other Beliebers http…
